Sport ID,Code,Name,Display Order,Zone Count
1,FOOT,Soccer,0,9
2,BASK,Basketball,2,5
3,TENN,Tennis,4,2
4,VOLL,Volleyball,13,5
101,ESPS,Esports,14,4
21,TABL,Table Tennis,12,4
13,HAND,Handball,18,1
7,ICEH,Ice Hockey,15,2
25,BCHV,Beach Volleyball,20,1
48,DART,Darts,34,1
34,SNOO,Snooker,21,1
24,FUTS,Futsal,22,1
40,GOLF,Golf,11,1
